文件名,检测车道线数,检测白线数,检测黄线数
1.jpg,4,3,1
2.jpg,4,3,1
3.jpg,1,1,0
4.jpg,6,5,1
5.jpg,6,5,1
6.jpg,2,1,1
7.jpg,5,4,1
8.jpg,6,5,1
9.jpg,5,4,1
10.jpg,3,2,1
11.jpg,3,2,1
12.jpg,6,5,1
13.jpg,2,2,0
14.jpg,5,4,1
15.jpg,5,5,0
16.jpg,5,4,1
17.jpg,6,5,1
18.jpg,3,2,1
19.jpg,1,0,1
20.jpg,6,5,1
21.jpg,0,0,0
22.jpg,5,4,1
23.jpg,4,3,1
24.jpg,1,1,0
25.jpg,4,3,1
26.jpg,3,2,1
27.jpg,5,5,0
28.jpg,1,1,0
29.jpg,6,5,1
30.jpg,5,4,1
31.jpg,6,5,1
32.jpg,6,5,1
33.jpg,3,3,0
34.jpg,4,3,1
35.jpg,2,2,0
36.jpg,2,2,0
37.jpg,5,5,0
